solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max,err_rms,err_linf,cross_err_max
penta,exp,1,128,64,2048,8192,2048,2048,0,10,host,  1.0403087000000000E-02,  1.0403087000000000E-02,  1.0401790000000001E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.0401790000000001E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,serial,1,128,64,2048,8192,2048,2048,0,10,host,  7.7277805000000005E-02,  7.7277805000000005E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,exp,1,128,64,2048,8192,2048,2048,1,10,host,  1.0137068999999777E-02,  1.0137068999999777E-02,  1.0135634000000060E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.0135634000000060E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,serial,1,128,64,2048,8192,2048,2048,1,10,host,  7.2533696000000258E-02,  7.2533696000000258E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,exp,1,128,64,2048,8192,2048,2048,2,10,host,  9.9988540000000015E-03,  9.9988540000000015E-03,  9.9980419999998738E-03,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.9980419999998738E-03,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,serial,1,128,64,2048,8192,2048,2048,2,10,host,  7.3604377000000110E-02,  7.3604377000000110E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,exp,1,128,64,2048,8192,2048,2048,3,10,host,  1.0032065999999951E-02,  1.0032065999999951E-02,  1.0030790000000067E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.0030790000000067E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,serial,1,128,64,2048,8192,2048,2048,3,10,host,  7.1435362000000335E-02,  7.1435362000000335E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,exp,1,128,64,2048,8192,2048,2048,4,10,host,  1.0068415000000108E-02,  1.0068415000000108E-02,  1.0066949000000047E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.0066949000000047E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,serial,1,128,64,2048,8192,2048,2048,4,10,host,  7.3470080999999965E-02,  7.3470080999999965E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
penta,exp,1,128,64,2048,8192,2048,2048,5,10,host,  1.0596373999999908E-02,  1.0596373999999908E-02,  1.0594824000000003E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.0594824000000003E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  9.8457238703331875E-13,  1.4557244298885053E-12,  0.0000000000000000E+00
